,county_x,state_name,lat,lng,population,county_state,density
1190,Isle of Wight,Virginia,36.8912,-76.7259,39444,Isle of Wight_VA,124.87415708994206
1191,Mayes,Oklahoma,36.3019,-95.2307,39406,Mayes_OK,60.057304843478526
1192,Williams,North Dakota,48.3437,-103.4802,39368,Williams_ND,19.01413212522821
1193,Douglas,Minnesota,45.9338,-95.4535,39354,Douglas_MN,62.04124101399924
1194,Oconto,Wisconsin,45.0264,-88.2697,39329,Oconto_WI,39.409000270549214
1195,Person,North Carolina,36.39,-78.9718,39275,Person_NC,100.11215620300273
1196,Gloucester,Virginia,37.416,-76.5434,39228,Gloucester_VA,181.09967222196573
1197,Avoyelles,Louisiana,31.0763,-92.0014,39176,Avoyelles_LA,47.06165008889529
1198,Louisa,Virginia,37.9786,-77.963,39012,Louisa_VA,78.47286478657924
1199,Crawford,Kansas,37.5073,-94.8518,38963,Crawford_KS,65.71486397598287
1200,Jim Wells,Texas,27.7314,-98.0899,38863,Jim Wells_TX,44.953268865960304
1201,Graham,Arizona,32.9326,-109.8875,38860,Graham_AZ,8.39432141221605
1202,Champaign,Ohio,40.1377,-83.7696,38772,Champaign_OH,90.47041254433452
1203,Colleton,South Carolina,32.8637,-80.667,38623,Colleton_SC,36.56234616986634
1204,Des Moines,Iowa,40.9232,-91.1815,38597,Des Moines_IA,92.74780728102849
1205,Wayne,West Virginia,38.1459,-82.427,38498,Wayne_WV,76.11459301291049
1206,Lawrence,Missouri,37.1064,-93.833,38392,Lawrence_MO,62.62151758334964
1207,Union,Arkansas,33.1713,-92.5972,38368,Union_AR,36.93136971797093
1208,Susquehanna,Pennsylvania,41.8214,-75.8007,38349,Susquehanna_PA,46.60452567873028
1209,Woodford,Illinois,40.7883,-89.2113,38348,Woodford_IL,72.63566625627426
1210,Brown,Texas,31.7742,-98.9998,38294,Brown_TX,40.57212480796737
1211,Guernsey,Ohio,40.052,-81.4943,38283,Guernsey_OH,73.35313278405825
1212,Defiance,Ohio,41.3239,-84.4905,38258,Defiance_OH,93.04893472127638
1213,Warren,Pennsylvania,41.8145,-79.2741,38174,Warren_PA,43.210142056709486
1214,Pontotoc,Oklahoma,34.728,-96.6844,38158,Pontotoc_OK,53.02373408926686
1215,Montgomery,Indiana,40.0404,-86.8933,38155,Montgomery_IN,75.62783691106222
1216,Newberry,South Carolina,34.2898,-81.6001,38121,Newberry_SC,60.43565800529512
1217,Independence,Arkansas,35.7416,-91.5697,38120,Independence_AR,49.90965984969494
1218,Brown,South Dakota,45.5898,-98.3516,38079,Brown_SD,22.228513720980462
1219,Oneida,Wisconsin,45.7055,-89.5218,38007,Oneida_WI,33.79902178746109
1220,Finney,Kansas,38.0443,-100.737,38001,Finney_KS,29.191792712998456
1221,Scott,Missouri,37.053,-89.5686,37967,Scott_MO,90.18075580152491
1222,Boone,Arkansas,36.3086,-93.0915,37896,Boone_AR,64.10230386684259
1223,Calloway,Kentucky,36.621,-88.2723,37882,Calloway_KY,98.07637540453075
1224,Jasper,Iowa,41.686,-93.0538,37864,Jasper_IA,51.86920368772175
1225,Albany,Wyoming,41.6546,-105.7238,37713,Albany_WY,8.826399859575215
1226,Talbot,Maryland,38.7714,-76.0971,37707,Talbot_MD,140.10180575165342
1227,Clinton,Pennsylvania,41.234,-77.6385,37707,Clinton_PA,42.32604083648568
1228,Cass,Indiana,40.7615,-86.346,37703,Cass_IN,91.31930147504058
1229,Covington,Alabama,31.2485,-86.4513,37647,Covington_AL,36.41543015225088
1230,Franklin,Illinois,37.9923,-88.9242,37541,Franklin_IL,91.1012424771889
1231,Dallas,Alabama,32.326,-87.1065,37536,Dallas_AL,38.274311468222
1232,Dare,North Carolina,35.7824,-75.7988,37534,Dare_NC,97.85181709161061
1233,Macon,North Carolina,35.1505,-83.4222,37533,Macon_NC,72.67217844211667
